Datum  : 23-08-2022 [22:36]                                                                                                 NPI ARTIKELEN V3                                                                                                  Blad      :     1
Neways Cable & Wire Sol. B.V.                                                                                                                                                                                                                  Bedrijf   :  450

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Artikel         |Omschrijving                  |S|Sig|Mat.    |CRL|CRL Name                      |RFQ number  |Nummer|Hoeveelheid   |Startdatum|Leverdatum|Plannr|Afd|Taak|Norm    |
115-72731-02    |LIGHT FIXTURE ASSY            |S|PIL|s2      |5E1|VDL-ETG ASML REL.       140716|22.03.00251 |338670|       15,00  |29-08-2022|15-09-2022|  8070|N01|4010|        |
118-12561-02    |EXE WH VWHC CABLE SET         |M|PIL|s16     |5N2|NAA ASML-CABLE          140836|21.06.00577 |     0|        3,00  |06-02-2023|02-03-2023|  8034|N01|4010|        |
118-21951-03    |EXE WH VWHC PE AND FIBER BUN  |S|EN4|7 s2    |5E1|VDL-ETG ASML REL.       140716|22.03.00244 |338638|        1,00  |22-07-2022|01-09-2022|  8070|N01|4010|        |
118-55451-03    |EXE WH VWHC SLR BUN           |M|EN3|7,3     |5E1|VDL-ETG ASML REL.       140716|22.03.00244 |     0|        2,00  |08-09-2022|05-10-2022|  8070|N01|4010|        |
118-55471-03    |EXE WH VWHC SUR BUN           |M|EN3|8,9     |5E1|VDL-ETG ASML REL.       140716|22.03.00244 |     0|        4,00  |05-09-2022|30-09-2022|  8070|N01|4010|        |
118-55801-03    |EXE WH VWHC WRSB LL BUN       |S|PIL|8,4 s12 |5E1|VDL-ETG ASML REL.       140716|22.03.00244 |338721|        2,00  |05-08-2022|07-09-2022|  8070|N01|4010|        |
118-55811-03    |EXE WH VWHC VPA BUN           |M|PIL|10 s16  |5E1|VDL-ETG ASML REL.       140716|22.03.00244 |     0|        2,00  |08-09-2022|05-10-2022|  8070|N01|4010|        |
118-77911-02    |EXE WH VPACP RZENC CBL        |M|EP3|        |5E1|VDL-ETG ASML REL.       140716|22.05.00344 |     0|        8,00  |22-11-2022|16-12-2022|  8060|N01|4010|        |
118-77922-02    |EXE WH VPACP RZMOT CBL        |M|PIL|        |5E1|VDL-ETG ASML REL.       140716|22.05.00420 |     0|        8,00  |28-11-2022|21-12-2022|  8060|N01|4010|        |
118-89841-02    |EXE WH WAECP WHER MMDC COM CBL|M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        3,00  |06-10-2022|26-10-2022|  8060|N01|4010|        |
118-89851-02    |EXE WH WAECP WHER MAINS CBL   |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|21.09.00854 |338622|        2,00  |15-07-2022|26-08-2022|  8060|N01|4010|        |
118-89851-03    |EXE WH WAECP WHER MAINS CBL   |M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        2,00  |27-09-2022|19-10-2022|  8060|N01|4010|        |
118-89861-02    |EXE WH WAECP WHER WTCOM CBL   |M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        3,00  |30-09-2022|26-10-2022|  8060|N01|4010|        |
118-89941-02    |EXE WH WAECP SHU WTR INTLK CBL|M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        3,00  |06-10-2022|26-10-2022|  8060|N01|4010|        |
118-89951-02    |EXE WH WAECP SHU SAF PROFI CBL|M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        3,00  |03-10-2022|26-10-2022|  8060|N01|4010|        |
118-89962-02    |EXE WH WAECP WHER WTCOM CBL   |M|EN3|8.22    |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        3,00  |06-10-2022|26-10-2022|  8060|N01|4010|        |
118-90251-03    |EXE WH MD PE FFTCP AWHC       |M|EN4|8.3     |5E1|VDL-ETG ASML REL.       140716|22.03.00180 |     0|        2,00  |24-08-2022|14-09-2022|  8060|N01|4010|        |
118-92951-02    |EXE WH VPA HTR TMP ASSY       |M|EP3|EXE1    |5E1|VDL-ETG ASML REL.       140716|22.03.00214 |     0|        2,00  |29-09-2022|25-10-2022|  8060|N01|4010|        |
1184922B        |ASSY WIRING TPEB              |M|PIL|        |3N1|NIS FEI                 141189|22.02.00170 |     0|       20,00  |30-08-2022|21-09-2022|  8020|N01|4010|        |
1186377B        |CBLS USER INTERFACE 30M           |M|PIL|        |3T2|Thermo Fischer Scient.  141195|22.05.00453 |     0|        5,00  |11-10-2022|03-11-2022|  8027|N01|4010|        |
119-61231-01    |EXE HEATER TEMP SW ASSY       |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|21.04.00353 |338603|        2,00  |25-07-2022|30-08-2022|  8060|N01|4010|        |
119-71061-03    |EXE WH AWHC AWHCP BUN         |S|PIL|5.13    |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |338718|        2,00  |26-08-2022|08-09-2022|  8070|N01|4010|        |
119-74961-03    |EXE WH AWHC CH BUN            |M|EN3|5,3     |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |     0|        3,00  |16-09-2022|14-10-2022|     0|N01|4010|        |
119-75061-03    |EXE WH AWHC RCPR BUN          |M|EN3|4,4     |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |     0|        2,00  |30-08-2022|27-09-2022|     0|N01|4010|        |
119-76311-05    |EXE WH AWHC PASH BUN          |M|PIL|5 s6    |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |     0|        3,00  |07-10-2022|04-11-2022|  8070|N01|4010|        |
119-81631-03    |EXE WH AWHC RCPL BUN          |S|EN4|4.52    |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |338671|        1,00  |28-07-2022|02-09-2022|  8070|N01|4010|        |
119-94432-01    |EXE WH PNEUM BOX MULTI CBL    |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.03.00195 |338665|        3,00  |09-08-2022|07-09-2022|  8060|N01|4010|        |
1191686B        |CBLS ACOUSTSERVERCAB INT      |M|EN4|        |3T2|Thermo Fischer Scient.  141195|22.04.00342 |     0|        5,00  |31-10-2022|23-11-2022|  8027|N01|4010|        |
121-37611-03    |EXE WH ADTCB TSEN BUN         |S|PIL|2.97 s2 |5E1|VDL-ETG ASML REL.       140716|22.02.00059 |338706|        2,00  |05-08-2022|07-09-2022|  8035|N01|4010|        |
121-39891-03    |EXE WH AWHC HEATER BUn        |M|EN3|4.64    |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |     0|        1,00  |07-11-2022|02-12-2022|     0|N01|4010|        |
121-40001-03    |EXE WH AWHC PNEUM UNIT BUN    |S|EN4|5 s7    |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |338687|        1,00  |27-07-2022|02-09-2022|  8070|N01|4010|        |
121-45731-03    |EXE WH WAECP AWHCP BUN        |S|PIL|6,3 s1  |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |338707|        2,00  |05-08-2022|07-09-2022|  8035|N01|4010|        |
121-45791-04    |EXE WH AWH CBL SET            |M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.05.00468 |     0|        1,00  |11-11-2022|07-12-2022|     0|N01|4010|        |
121-68921-01    |ADTCB AIR SENSOR LR TOP CBL   |S|PRO|        |5E1|VDL-ETG ASML REL.       140716|22.06.00551 |312649|       16,00  |19-08-2022|13-09-2022|  8060|N01|4010|        |
121-95901-01    |EXE WH BFI Z2 ABS ENC         |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|21.12.01180 |338627|        2,00  |24-06-2022|24-08-2022|  8060|N01|4010|        |
121-97871-03    |EXE WH SHU BUN                |M|EN3|5.31    |5E1|VDL-ETG ASML REL.       140716|22.01.00059 |     0|        1,00  |09-11-2022|07-12-2022|     0|N01|4010|        |
1219964A        |Cbl LID sensor-VMBX75         |M|EN3|        |3T2|Thermo Fischer Scient.  141195|22.05.00409 |     0|       51,00  |09-12-2022|05-01-2023|     0|N01|4010|        |
122-20431-01    |WHSHB SHBCPINT0 LS INTERL MK2 |M|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.05.00371 |     0|       15,00  |28-09-2022|17-10-2022|  8034|N01|4010|        |
123-72842-01    |ESAT 24V ADAPTER CBL          |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.03.00205 |338600|        2,00  |26-07-2022|26-08-2022|  8034|N01|4010|        |
1266180D        |CBL TGIB-SGX1                 |M|PRO|        |3N1|NIS FEI                 141189|22.01.00013 |     0|       10,00  |05-08-2022|02-09-2022|  8027|N01|4010|        |
1266181E        |CBL TGIB-SGX2                 |M|PRO|        |3N1|NIS FEI                 141189|22.01.00013 |     0|       10,00  |05-08-2022|02-09-2022|  8027|N01|4010|        |
1266182D        |CBL TGIB-SGBX2                |M|PRO|        |3N1|NIS FEI                 141189|22.01.00013 |     0|       10,00  |01-08-2022|02-09-2022|  8027|N01|4010|        |
1267155A        |TEM GATE SET OF CABLES        |M|EP3|        |3T2|Thermo Fischer Scient.  141195|22.01.00013 |     0|       10,00  |07-09-2022|29-09-2022|  8027|N01|4010|        |
127-74661-01    |EXE AWH PASH LGHT SHLD DUMMY  |S|EN4|        |5E1|VDL-ETG ASML REL.       140716|22.04.00340 |338691|        1,00  |05-08-2022|02-09-2022|  8060|N01|4010|        |
128-27381-01    |EXE WH IVRPREVAC VLV ADAPT CBL|M|PIL|        |5E1|VDL-ETG ASML REL.       140716|22.05.00397 |     0|        8,00  |02-12-2022|04-01-2023|  8060|N01|4010|        |
128-27761-01    |EXE WH PREVAC VLV ADAPT CBL   |M|PIL|        |5E1|VDL-ETG ASML REL.       140716|22.05.00397 |     0|        4,00  |06-12-2022|06-01-2023|  8060|N01|4010|        |
128-27771-01    |EXE WH PREVAC VLV ADAPT CBL   |M|PIL|        |5E1|VDL-ETG ASML REL.       140716|22.05.00397 |     0|        8,00  |05-12-2022|05-01-2023|  8060|N01|4010|        |
128-30071-01    |EXE WH CDAPRS ADAPT CBL       |M|PIL|        |5E1|VDL-ETG ASML REL.       140716|22.05.00397 |     0|        8,00  |08-12-2022|06-01-2023|  8060|N01|4010|        |
128-43481-02    |NFPA KIT KK5 SHEETW NT+XT+NXT3|M|EN3|        |5E1|VDL-ETG ASML REL.       140716|22.06.00483 |     0|       15,00  |24-03-2023|14-04-2023|     0|N01|4010|        |
1364786A        |CBL,TRANSF,MAINS,JPR          |M|PIL|        |3T2|Thermo Fischer Scient.  141195|22.02.00138 |     0|       93,00  |07-10-2022|03-11-2022|     0|N01|4010|        |
1403691B        |EMO M ASSY CB                 |M|EP3|        |3M1|FEI CZECH REPUBLIC SRO  806300|22.01.00022 |     0|        3,00  |02-03-2023|20-03-2023|  8027|N01|4010|        |
1405194B        |CBL OUTLET1X5-ADAPSWITCH      |M|PIL|        |3T2|Thermo Fischer Scient.  141195|22.06.00561 |     0|        3,00  |03-10-2022|24-10-2022|  8027|N01|4010|        |
1405549B        |CBL OUTLET2X3-ADAPROUTER      |M|PIL|        |3T2|Thermo Fischer Scient.  141195|22.06.00561 |     0|        3,00  |03-10-2022|24-10-2022|  8027|N01|4010|        |
1406831A        |CBL PWR ADAP-ROUTER ER X      |M|EN3|        |3T2|Thermo Fischer Scient.  141195|22.05.00454 |     0|        5,00  |05-05-2023|29-05-2023|  8027|N01|4010|        |
1408103B        |CBL EARTH EHTERNETSWITCH      |M|PIL|        |3T2|Thermo Fischer Scient.  141195|22.06.00651 |     0|       23,00  |06-09-2022|27-09-2022|  8027|N01|4010|        |
1408783A        |CBL SELVDS X3 DS3 CK OUT      |M|PIL|        |3N1|NIS FEI                 141189|21.11.01062 |     0|       10,00  |26-08-2022|16-09-2022|     0|N01|4010|        |
1416221A        |ULTRA X CABLE KIT             |M|PIL|        |3T2|Thermo Fischer Scient.  141195|21.06.00619 |     0|       19,00  |30-03-2023|24-04-2023|  8027|N01|4010|        |
1417025A        |CBL DPDBX22 - UIOB_ACBX1      |M|EN3|        |3T2|Thermo Fischer Scient.  141195|21.08.00753 |     0|       10,00  |03-02-2023|23-02-2023|     0|N01|4010|        |
1417119A        |CBL DPDBX21-MOBP/ICSB         |M|EN4|        |3N1|NIS FEI                 141189|22.01.00031 |     0|       10,00  |11-10-2022|28-10-2022|  8020|N01|4010|        |
1422950A        |CBL OUTLET1X3-MPC             |M|PIL|        |3N1|NIS FEI                 141189|22.06.00561 |     0|        3,00  |03-10-2022|24-10-2022|  8027|N01|4010|        |
1423837A        |Cbl SF6press Manometer        |S|EN4|        |3T2|Thermo Fischer Scient.  141195|22.02.00136 |338644|       12,00  |01-08-2022|31-08-2022|  8020|N01|4010|        |
142D069106.C    |VBL W106      6150-12-391-7935|S|PIL|BOXER   |1B1|RMMV CE-BOXER           141230|19.09.00954 |592494|        1,00  |15-07-2022|22-07-2022|  7021|101|7010|        |
1432755A        |Clbs 3VLL Cab-Col             |S|EP4|        |3T2|Thermo Fischer Scient.  141195|22.04.00346 |312631|        7,00  |15-08-2022|07-09-2022|  8027|N01|4010|        |
2034944         |LOOM UPS MAINS INPUT 15M      |S|EP4|        |5H1|BKL                     999981|21.06.00567 |736583|        5,00  |08-08-2022|30-08-2022|     0|101|7010|F       |
205.885.000-F   |DRAADBOOM WATERTELLER ZUIL B  |M|PIL|        |7B1|BRAVILOR                802560|21.12.01185 |     0|      500,00  |09-09-2022|27-09-2022|  6000|Y42|6010|TBOARD  |
205.935.000-C   |DRAAD AWG18 BK L=145 NR.1     |M|EN3|        |7B1|BRAVILOR                802560|22.02.00164 |     0|      250,00  |06-01-2023|19-01-2023|  6000|Y42|6010|NO BOARD|
205.936.000-C   |DRAAD AWG18 BK L=145 NR.2     |M|EN3|        |7B1|BRAVILOR                802560|            |     0|      250,00  |05-05-2023|18-05-2023|  6000|Y42|6010|NO BOARD|
205.937.000-C   |DRAAD AWG18 BK L=145 NR.3     |M|EN3|        |7B1|BRAVILOR                802560|22.02.00164 |     0|      250,00  |06-01-2023|19-01-2023|  6000|Y42|6010|NO BOARD|
205.963.000-E   |DRAADBOOM BHW5/10-2 SCHEEPS   |M|EN3|        |7B1|BRAVILOR                802560|22.06.00514 |     0|       10,00  |14-09-2022|06-10-2022|  2000|Y42|6010|UL/TBORD|
205.974.000-C   |DRAAD D.E. BHW 5/10 SCHEEPS   |M|EN3|        |7B1|BRAVILOR                802560|21.06.00573 |     0|      100,00  |18-05-2023|30-05-2023|  6000|Y42|6010|NO BOARD|
206.628.000-D   |DRAAD AWG14 WIT L=145         |M|PIL|        |7B1|BRAVILOR                802560|21.11.01083 |     0|      250,00  |10-11-2022|24-11-2022|  6000|Y42|6010|NO BOARD|
206.635.000-E   |DRAADBOOM STERK B20 GB        |M|PIL|        |7B1|BRAVILOR                802560|22.01.00028 |     0|       25,00  |24-03-2023|17-04-2023|  6000|Y42|6010|BBOARD  |
206.636.000-E   |DRAADBOOM STERK BWH20-2 GB    |S|PIL|        |7B1|BRAVILOR                802560|22.01.00035 |801386|       20,00  |01-06-2022|20-06-2022|  6000|Y42|6010|BBOARD  |
206.640.000-D   |CBL D.E. B20 NO.3             |M|PIL|        |7B1|BRAVILOR                802560|21.07.00712 |     0|       60,00  |03-02-2023|15-02-2023|  6000|Y42|6010|NO BOARD|
206.653.000-F   |DRAADBOOM STERK B20 HW        |M|EN3|        |7B1|BRAVILOR                802560|22.01.00080 |     0|       10,00  |02-03-2023|20-03-2023|  6000|Y42|6010|BBOARD  |
229.865.000-H   |DRAADBOOM ZWAK QUINTO         |S|PIL|        |7B1|BRAVILOR                802560|21.11.01047 |801511|      100,00  |22-07-2022|22-08-2022|  6000|Y42|6010|TBOARD  |
229.873.000-D   |DRAADBOOM ZWAK SOLO           |M|EN3|        |7B1|BRAVILOR                802560|22.06.00577 |     0|      100,00  |20-12-2022|12-01-2023|  6000|Y42|6010|TBOARD  |
230.020.000-B   |CABLE ASSY CB 3               |M|PIL|        |7B1|BRAVILOR                802560|21.11.01091 |     0|      100,00  |24-11-2022|12-12-2022|  6000|Y42|6010|BBOARD  |
231.218.000-F   |DRAADBOOM BREWERSCHAKELAAR    |M|EN3|        |7B1|BRAVILOR                802560|21.08.00734 |     0|      100,00  |15-11-2022|01-12-2022|  6000|Y42|6010|BBOARD  |
231.388.000-F   |DRAADBOOM STERK +2 -M-        |M|PIL|        |7B1|BRAVILOR                802560|21.11.01069 |     0|      100,00  |26-06-2023|18-07-2023|  6000|Y42|6010|TBOARD  |
231.396.000-F   |DRAADBOOM BREWERSCHAKELAAR -M-|M|EN3|        |7B1|BRAVILOR                802560|21.08.00734 |     0|      500,00  |03-11-2022|17-11-2022|  6000|Y42|6010|BBOARD  |
231.677.000-C   |DRAADBOOM ZWAK +4 -M-         |M|EN3|        |7B1|BRAVILOR                802560|22.01.00066 |     0|      100,00  |31-05-2023|19-06-2023|  6000|Y42|6010|TBOARD  |
231.722.000-D   |DRAADBOOM ZWAK FM OEM         |S|PIL|        |7B1|BRAVILOR                802560|22.04.00335 |801507|       50,00  |29-07-2022|29-08-2022|  6000|Y42|6010|TBOARD  |
231.723.000-D   |DRAADBOOM ZWAK FG OEM         |S|PIL|        |7B1|BRAVILOR                802560|22.01.00024 |801447|       50,00  |28-06-2022|18-07-2022|  6000|Y42|6010|TBOARD  |
231.729.000-C   |DRAADBOOM STERK FM OEM        |S|EN3|        |7B1|BRAVILOR                802560|22.04.00335 |801563|      100,00  |06-09-2022|26-09-2022|  6000|Y42|6010|BBOARD  |
231.739.000-D   |DRAADBOOM FILTERPAPIERHOUDER  |S|PIL|        |7B1|BRAVILOR                802560|21.11.01019 |801554|      100,00  |15-08-2022|03-10-2022|  6000|Y42|6010|UL/BBORD|
231.742.000-C   |FAN MOTOR W.EXTENSION + HSG 2P|S|PIL|        |7B1|BRAVILOR                802560|21.11.01069 |801513|      200,00  |05-08-2022|29-08-2022|  6000|Y42|6010|BBOARD  |
233.098.000-E   |BANDKABEL 6XAWG28 l=850 TB1.5 |M|EN2|        |7B1|BRAVILOR                802560|18.08.00867 |     0|      100,00  |06-06-2023|19-06-2023|  6000|Y42|6010|UL/TBORD|
233.099.000-C   |BANDKABEL TB MAINBOARD-DISPLAY|M|PIL|        |7B1|BRAVILOR                802560|21.11.01083 |     0|      100,00  |12-01-2023|25-01-2023|  6000|Y42|6010|UL/TBORD|
236.164.000-H   |CABLE ASSY HW(A) 510/520      |M|PIL|        |7B1|BRAVILOR                802560|16.05.00405 |     0|      100,00  |26-04-2023|18-05-2023|  6000|Y42|6010|BBOARD  |
236.164.000-J   |CABLE ASSY HW(A) 510/520      |M|EN3|        |7B1|BRAVILOR                802560|22.01.00066 |     0|      100,00  |18-10-2022|03-11-2022|  6000|Y42|6010|BBOARD  |
236.181.000-J   |DRAADBOOM STERK HCM 510/520   |M|EN3|        |7B1|BRAVILOR                802560|22.01.00067 |     0|       50,00  |30-03-2023|17-04-2023|  6000|Y42|6010|BBOARD  |
236.596.000-F   |CBL ASSY STR MAIN HWA14/21    |M|PIL|        |7B1|BRAVILOR                802560|21.07.00716 |     0|      100,00  |22-12-2022|18-01-2023|  6000|Y42|6010|UL/BBORD|
236.597.000-E   |CBL ASSY WK MAIN HWA14/21     |M|EN3|        |7B1|BRAVILOR                802560|21.04.00305 |     0|      500,00  |10-03-2023|27-03-2023|  6000|Y42|6010|TBOARD  |
236.599.000-F   |CBL ASSY ELEKTRODEN HWA14     |M|EN3|        |7B1|BRAVILOR                802560|22.05.00426 |     0|      100,00  |22-12-2022|12-01-2023|  6000|Y42|6010|UL/BBORD|
236.685.000-C   |DRAADBOOM POMP HWA 6/14       |M|PIL|        |7B1|BRAVILOR                802560|17.01.00024 |     0|      100,00  |17-10-2022|27-10-2022|  6000|Y42|6010|UL/BBORD|
236.809.000-C   |DRAADBOOM STERK HWA 3         |M|EN3|        |7B1|BRAVILOR                802560|21.08.00734 |     0|      250,00  |30-03-2023|17-04-2023|  6000|Y42|6010|BBOARD  |
236.810.000-B   |DRAADBOOM ZWAK HWA 3          |M|PIL|        |7B1|BRAVILOR                802560|20.07.00524 |     0|      100,00  |03-04-2023|17-04-2023|  6000|Y42|6010|        |
247.301.000-G   |DRAADBOOM STERK B40           |S|PIL|F=G     |7B1|BRAVILOR                802560|21.11.01083 |801417|       45,00  |02-06-2022|27-06-2022|  6000|Y42|6010|BBOARD  |
267.312.000-D   |DRAADBOOM BR 151 T            |S|PIL|        |7B1|BRAVILOR                802560|22.06.00503 |801528|      250,00  |04-08-2022|29-08-2022|  6000|Y42|6010|BBOARD  |
267.314.000-F   |DRAADBOOM BR 151 TH PP        |S|PIL|        |7B1|BRAVILOR                802560|21.11.01083 |801552|      500,00  |19-08-2022|07-09-2022|  6000|Y42|6010|BBOARD  |
267.326.000-E   |DRAADBOOM AMBASSADOR TH ONDER |M|PIL|        |7B1|BRAVILOR                802560|21.07.00716 |     0|      300,00  |30-08-2022|15-09-2022|  6000|Y42|6010|BBOARD  |
267.340.000-C   |DRAADBOOM BR151 TH AUTOMAAT   |S|PIL|        |7B1|BRAVILOR                802560|21.08.00807 |801514|       50,00  |03-08-2022|29-08-2022|  6000|Y42|6010|TBOARD  |
267.343.000-C   |DRAADBOOM AMBASSADOR TH BOVEN |S|PIL|        |7B1|BRAVILOR                802560|21.08.00796 |801488|      250,00  |20-07-2022|15-08-2022|  6000|Y42|6010|BBOARD  |
268.429.000-C   |WIRE PROMESSO SUPPLY BUS      |M|PIL|        |7B1|BRAVILOR                802560|21.06.00573 |     0|      300,00  |31-08-2022|15-09-2022|  6000|Y42|6010|BBOARD  |
271.020.000-E   |DRAADBOOM ZWAK FRESH MILK     |S|PIL|        |7B1|BRAVILOR                802560|22.01.00066 |801542|      100,00  |24-08-2022|12-09-2022|  6000|Y42|6010|TBOARD  |
271.053.000-B   |ASSY STERK FRESHMILK R600A    |S|PIL|        |7B1|BRAVILOR                802560|21.11.01041 |801540|      100,00  |19-08-2022|12-09-2022|  6000|Y42|6010|BBOARD  |
272.036.000-B   |DRAADBOOM VEILIGHEID JUICER   |M|PIL|        |7B1|BRAVILOR                802560|18.01.00058 |     0|      495,00  |20-09-2022|06-10-2022|  6000|Y42|6010|TBOARD  |
299.049.000-E   |DRAADBOOM STERK WHK           |M|EN3|        |7B1|BRAVILOR                802560|21.11.01069 |     0|      250,00  |06-02-2023|22-02-2023|  6000|Y42|6010|BBOARD  |
301.608.000-C   |DRAAD D.E. WIT (GB)           |M|PIL|        |7B1|BRAVILOR                802560|21.08.00734 |     0|      250,00  |13-04-2023|24-04-2023|  6000|Y42|6010|NOBOARD |
305.049.000-D   |DRAADBOOM STERK B5HW-B10HW    |S|PIL|        |7B1|BRAVILOR                802560|22.03.00250 |801518|      200,00  |03-08-2022|29-08-2022|  6000|Y42|6010|BBOARD  |
305.051.000-D   |DRAADBOOM STERK B5/B10 HW 5E  |M|PIL|        |7B1|BRAVILOR                802560|22.05.00410 |     0|       10,00  |08-11-2022|24-11-2022|  6000|Y42|6010|BBOARD  |
313.235.000-E   |DRAADBOOM STERK RLX GLAS KAN  |M|PIL|        |7B1|BRAVILOR                802560|21.09.00834 |     0|       50,00  |16-11-2022|08-12-2022|  6000|Y42|6010|TBOARD  |
313.241.000-G   |DRAADBOOM ZWAK RLX STOOM      |M|PIL|        |7B1|BRAVILOR                802560|21.11.01047 |     0|       50,00  |28-10-2022|17-11-2022|  6000|Y42|6010|BBOARD  |
313.305.000-D   |DRAADBOOM TABLEAU PTC RL      |M|EN3|        |7B1|BRAVILOR                802560|21.08.00734 |     0|      100,00  |14-11-2022|24-11-2022|  6000|Y42|6010|BBOARD  |
329.266.000-D   |DRAADBOOM STERK BOLERO XL T++ |M|PIL|        |7B1|BRAVILOR                802560|21.04.00305 |     0|      100,00  |26-01-2023|15-02-2023|  6000|Y42|6010|BBOARD  |
329.293.000-D   |DRAADBOOM STERK BOLERO XLT+ 1F|M|EN3|        |7B1|BRAVILOR                802560|22.03.00207 |     0|      500,00  |12-09-2022|29-09-2022|  6000|Y42|6010|BBOARD  |
329.303.000-D   |DRAAD AWG16 WIT L=90 2X FST6,3|M|PIL|SGS     |7B1|BRAVILOR                802560|21.11.01027 |     0|      500,00  |25-11-2022|12-12-2022|  6000|Y42|6010|NOBOARD |
329.304.000-C   |BANDKABEL BOLERO XL T+        |M|PIL|        |7B1|BRAVILOR                802560|22.01.00024 |     0|      500,00  |08-12-2022|19-12-2022|  6000|Y42|6010|TBOARD  |
329.305.000-C   |BANDKABEL BOLERO XL T++       |M|PIL|        |7B1|BRAVILOR                802560|21.07.00712 |     0|      100,00  |09-12-2022|22-12-2022|  6000|Y42|6010|FCBOARD |
329.555.000-D   |BUNDLE WEAK BOLERO XL T LIQ+2 |S|EN3|        |7B1|BRAVILOR                802560|22.05.00392 |801560|       50,00  |30-08-2022|19-09-2022|  6000|Y42|6010|UL/TBORD|
